iter	Passed	Remaining
0	3	609
1	6	609
2	9	621
3	12	625
4	16	632
5	19	625
6	22	626
7	25	621
8	28	612
9	32	613
10	35	613
11	39	617
12	42	618
13	46	615
14	49	613
15	53	614
16	56	613
17	60	608
18	63	601
19	66	597
20	69	595
21	73	592
22	76	589
23	80	586
24	83	583
25	86	578
26	89	573
27	92	570
28	96	568
29	99	566
30	103	565
31	107	564
32	111	563
33	115	561
34	118	558
35	122	557
36	125	554
37	129	550
38	132	548
39	136	546
40	140	544
41	143	539
42	147	537
43	151	536
44	154	533
45	159	532
46	162	529
47	166	526
48	169	522
49	173	519
50	177	517
51	181	515
52	185	513
53	189	511
54	192	508
55	196	505
56	200	503
57	204	500
58	208	497
59	212	494
60	215	491
61	219	487
62	222	484
63	226	481
64	230	479
65	234	475
66	238	472
67	241	469
68	245	466
69	249	463
70	253	460
71	257	457
72	261	454
73	264	450
74	268	447
75	272	444
76	276	441
77	280	438
78	283	434
79	287	430
80	290	426
81	293	422
82	296	418
83	300	414
84	303	410
85	306	406
86	309	402
87	313	398
88	316	395
89	320	391
90	323	387
91	327	383
92	330	380
93	333	376
94	337	372
95	340	368
96	344	365
97	347	361
98	350	357
99	353	353
100	357	350
101	360	346
102	364	343
103	367	339
104	371	335
105	374	332
106	378	328
107	381	325
108	385	321
109	388	317
110	392	314
111	395	310
112	398	307
113	402	303
114	405	299
115	408	296
116	412	292
117	415	288
118	419	285
119	422	281
120	425	277
121	428	274
122	431	270
123	435	267
124	439	263
125	443	260
126	446	256
127	450	253
128	453	249
129	457	246
130	460	242
131	464	239
132	467	235
133	471	232
134	474	228
135	477	224
136	481	221
137	484	217
138	487	214
139	491	210
140	494	206
141	497	203
142	501	199
143	504	196
144	507	192
145	510	188
146	513	185
147	517	181
148	520	178
149	523	174
150	526	170
151	530	167
152	533	163
153	536	160
154	539	156
155	543	153
156	546	149
157	549	146
158	553	142
159	556	139
160	560	135
161	563	132
162	567	128
163	570	125
164	573	121
165	576	118
166	580	114
167	583	111
168	587	107
169	590	104
170	594	100
171	597	97
172	600	93
173	604	90
174	607	86
175	611	83
176	614	79
177	618	76
178	621	72
179	624	69
180	628	65
181	631	62
182	634	58
183	638	55
184	641	52
185	645	48
186	648	45
187	652	41
188	655	38
189	659	34
190	662	31
191	665	27
192	669	24
193	672	20
194	675	17
195	679	13
196	682	10
197	686	6
198	689	3
199	692	0
